id,label,topic,text,length_chars,length_words,quality_score,sentiment,source_detail,timestamp,plagiarism_score,notes,clean_text,prediction,prediction_label
305,human,food,"As someone who follows food, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.",126,22,2.37,0.44,author_50,12/19/2023 11:21,0.045,personal_tone,"As someone who follows food, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.",human,
341,ai,travel,Analysis indicates that travel is associated with privacy concerns remain a top challenge. Community feedback will shape future developments.,141,19,3.44,0.6,gpt-5-base,4/1/2024 17:43,0.007,,Analysis indicates that travel is associated with privacy concerns remain a top challenge. Community feedback will shape future developments.,ai,
48,human,education,I recently experienced education in my day-to-day life and found that the results are promising but preliminary.,112,17,3.16,-0.43,author_33,8/28/2025 7:56,0.163,personal_tone,I recently experienced education in my day-to-day life and found that the results are promising but preliminary.,human,
68,ai,sports,Analysis indicates that sports is associated with costs can vary greatly depending on implementation.,101,14,3.32,0.44,claude-2,10/23/2023 14:34,0.122,,Analysis indicates that sports is associated with costs can vary greatly depending on implementation.,ai,
480,human,finance,"In my experience, finance often leads to users report a mixed set of outcomes.",78,14,3.52,-0.31,author_87,11/28/2024 11:31,0.105,,"In my experience, finance often leads to users report a mixed set of outcomes.",human,
486,ai,education,Analysis indicates that education is associated with privacy concerns remain a top challenge.,93,13,3.42,0.87,gpt-4o-mini,8/4/2024 17:35,0.106,,Analysis indicates that education is associated with privacy concerns remain a top challenge.,ai,
311,ai,sports,The following summary on sports shows it requires more data for conclusive evidence. Implementation details matter a lot here.,126,19,4.22,0.12,gpt-4o-mini,8/29/2023 0:05,0.002,,The following summary on sports shows it requires more data for conclusive evidence. Implementation details matter a lot here.,ai,
32,ai,science,This article discusses science and highlights that costs can vary greatly depending on implementation. This could change as new data becomes available.,151,22,4.91,-0.2,llama-3-small,4/22/2023 21:43,0.065,,This article discusses science and highlights that costs can vary greatly depending on implementation. This could change as new data becomes available.,ai,
250,human,education,I recently experienced education in my day-to-day life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence,202,31,2.65,0.23,author_73,1/9/2023 13:25,0.07,personal_tone,I recently experienced education in my day-to-day life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence,human,
91,ai,science,Research-style summary on science suggests it can be optimized with simple heuristics.,86,12,3.54,-0.45,llama-3-small,5/16/2024 22:24,0.061,,Research-style summary on science suggests it can be optimized with simple heuristics.,ai,
323,human,entertainment,"After trying several approaches related to entertainment, I noticed costs can vary greatly depending on implementation.",119,16,4.01,-0.06,author_85,4/8/2024 4:09,0.034,personal_tone,"After trying several approaches related to entertainment, I noticed costs can vary greatly depending on implementation.",human,
169,ai,entertainment,Analysis indicates that entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are trade-offs to consider costs can vary greatly depending on implementation,219,31,3.21,0.88,gpt-5-base,7/10/2024 19:05,0.074,,Analysis indicates that entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are trade-offs to consider costs can vary greatly depending on implementation,ai,
120,human,lifestyle,My personal opinion on lifestyle is that users report a mixed set of outcomes.,78,14,3.82,-0.41,author_49,12/26/2024 3:05,0.108,,My personal opinion on lifestyle is that users report a mixed set of outcomes.,human,
67,human,finance,"After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive.",118,16,2.14,0.28,author_61,10/12/2024 17:54,0.339,personal_tone,"After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive.",human,
306,ai,finance,This article discusses finance and highlights that there are trade-offs to consider.,84,12,4.32,0.29,gpt-5-base,12/12/2023 15:47,0.133,,This article discusses finance and highlights that there are trade-offs to consider.,ai,
